id,wav,ref_text,ref_tool,ref_slots,category,noise,distance,speaker
u01-c1,audio/u01-c1.wav,오늘 할 일 알려줘,get_schedule,[{}],조회,조용,30cm,spk1
u01-c2,audio/u01-c2.wav,오늘 할 일 알려줘,get_schedule,[{}],조회,생활소음,30cm,spk1
u01-c3,audio/u01-c3.wav,오늘 할 일 알려줘,get_schedule,[{}],조회,조용,100cm,spk1
u02-c1,audio/u02-c1.wav,데스키봇 오늘 뭐 해야 해,get_schedule,[{}],조회+호출어,조용,30cm,spk1
u02-c2,audio/u02-c2.wav,데스키봇 오늘 뭐 해야 해,get_schedule,[{}],조회+호출어,생활소음,30cm,spk1
u02-c3,audio/u02-c3.wav,데스키봇 오늘 뭐 해야 해,get_schedule,[{}],조회+호출어,조용,100cm,spk1
u03-c1,audio/u03-c1.wav,남은 일정 뭐 있어,get_schedule,[{}],조회,조용,30cm,spk1
u03-c2,audio/u03-c2.wav,남은 일정 뭐 있어,get_schedule,[{}],조회,생활소음,30cm,spk1
u03-c3,audio/u03-c3.wav,남은 일정 뭐 있어,get_schedule,[{}],조회,조용,100cm,spk1
u04-c1,audio/u04-c1.wav,이번 주 마감 있는 거 알려줘,get_schedule,[{}],조회+도메인어휘,조용,30cm,spk1
u04-c2,audio/u04-c2.wav,이번 주 마감 있는 거 알려줘,get_schedule,[{}],조회+도메인어휘,생활소음,30cm,spk1
u04-c3,audio/u04-c3.wav,이번 주 마감 있는 거 알려줘,get_schedule,[{}],조회+도메인어휘,조용,100cm,spk1
u05-c1,audio/u05-c1.wav,영어 숙제 추가해줘,add_todo,"[{""content"": ""영어 숙제""}]",추가,조용,30cm,spk1
u05-c2,audio/u05-c2.wav,영어 숙제 추가해줘,add_todo,"[{""content"": ""영어 숙제""}]",추가,생활소음,30cm,spk1
u05-c3,audio/u05-c3.wav,영어 숙제 추가해줘,add_todo,"[{""content"": ""영어 숙제""}]",추가,조용,100cm,spk1
